molecule_chembl_id,canonical_smiles,standard_value
CHEMBL4162234,O=C(CNc1ccc(Cl)cc1)NO,2470.0
CHEMBL4165682,O=C(CNc1ccc(Br)cc1)NO,2010.0
CHEMBL4169105,O=C(CNc1cccc([N+](=O)[O-])c1)NO,8210.0
CHEMBL4161835,O=C(CNc1cc(Cl)ccc1Cl)NO,1640.0
CHEMBL4172484,O=C(CNc1ccccc1)NO,4670.0
CHEMBL4172409,O=C(CNc1c(Cl)cccc1Cl)NO,191000.0
CHEMBL4164528,O=C(CNc1cc(F)cc(F)c1)NO,5110.0
CHEMBL4175821,Cc1ccc(NCC(=O)NO)cc1,3910.0
CHEMBL4167961,COc1ccc(NCC(=O)NO)cc1,69800.0
CHEMBL4160701,O=C(CNc1ccccc1Cl)NO,58900.0
CHEMBL4171297,O=C(CNc1ccccc1Br)NO,12300.0
CHEMBL4164106,O=C(CN1CCCc2ccccc21)NO,71100.0
CHEMBL4159630,O=C(CCNc1ccccc1)NO,1220.0
CHEMBL4173629,COc1ccccc1NCCC(=O)NO,1640.0
CHEMBL4161873,Cc1cc(C)cc(NCCC(=O)NO)c1,2930.0
CHEMBL4166373,O=C(CCNc1c(Cl)cccc1Cl)NO,25000.0
CHEMBL4168720,O=C(CCNc1ccc([N+](=O)[O-])cc1)NO,1230.0
CHEMBL4176586,O=C(CCNc1cccc([N+](=O)[O-])c1)NO,5100.0
CHEMBL4162250,O=C(CCNc1ccccc1[N+](=O)[O-])NO,10530.0
CHEMBL4177391,O=C(CCNc1cccc(Cl)c1Cl)NO,3830.0
CHEMBL4169528,O=C(CCNc1cc(F)cc(F)c1)NO,1520.0
CHEMBL4169118,O=C(CCN1CCCc2ccccc21)NO,21130.0
CHEMBL4251246,O=C(CCOc1ccc(Cl)cc1)NO,8200.0
CHEMBL4241971,O=C(CCOc1ccc(Br)cc1)NO,16300.0
CHEMBL4243350,O=C(CCOc1ccc(Cl)c(Cl)c1)NO,890.0
CHEMBL4245850,O=C(COc1ccc(Cl)c(Cl)c1)NO,12800.0
CHEMBL2094349,O=C(COc1ccc(Cl)cc1Cl)NO,21400.0
CHEMBL4239073,O=C(CCOc1cc(Cl)ccc1Cl)NO,13100.0
CHEMBL4250425,O=C(CCOc1cc(F)cc(F)c1)NO,5090.0
CHEMBL4248626,O=C(CCOc1cccc(Cl)c1)NO,1230.0
CHEMBL4247924,O=C(CCOc1cccc(F)c1)NO,2050.0
CHEMBL4250256,O=C(CCOc1ccc(F)cc1)NO,1130.0
CHEMBL4239299,Cc1cc(C)cc(OCCC(=O)NO)c1,10400.0
CHEMBL4246522,COc1ccc(OCCC(=O)NO)cc1,8350.0
CHEMBL4240308,Cc1ccc(OCCC(=O)NO)cc1,1380.0
